Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Term,USE_THIS,Is Term,Original Sort Order,Check Fulltext,ReviewType,Project,local_filename,culled_type,culled_term,culled_date,culled_COMMENTS,missing,IS_DISS,TITLE3,TITLE3_nospace,IS_DISS_TITLE,full_auth,AUTH,IS_AUTH,IS_DISS_AUTH,pq_Title,pq_Authors,pq_documentType,pq_elecPubDate,pq_entryDate,pq_issue,pq_pages,pq_placeOfPublication,pq_pubdate,pq_pubtitle,pq_year,pq_volume,Filename,Date,Additional Pages,ReviewType.1,Chapter,Chapter_Auth,special,downloaded
25.0,"I Langrock, S González-Bailón",The gender divide in Wikipedia: Quantifying and assessing the impact of two feminist interventions,2022,Journal of Communication,academic.oup.com,https://academic.oup.com/joc/article-abstract/72/3/297/6529454,"https://scholar.google.com/scholar?cites=7328438953260183617&as_sdt=2005&sciodt=0,5&hl=en",25.0,##########,,,,,,,,,25.0,13.0,13.0,2.0,2.0, Art+Feminism and 500 Women Scientists. These movements focus on adding content to Wikipedia  goals of adding women’s stories to Wikipedia: Do they manage to create content that ,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3739176,,Art+Feminism,True,TRUE,25.0,,case study,Art+Feminism,I_Langrock__S_González-Bailón_The_gender_divide_in_Wikipedia_Quantifying_and_assessing_the_impact_of_two_feminist_interventions.pdf,0,Art+Feminism,0,,,False,The gender divide ,The gender divide,False,I Langrock,Langrock,,False,,,,,,,,,,,,,,,,,,,,False
1.0,IF Machado,"A elas, o protagonismo: um estudo sobre o projeto Art+ Feminism e as novas representações de mulheres artistas",2015,Trabalho de Conclusão de Curso (Graduação em …,pantheon.ufrj.br,https://pantheon.ufrj.br/handle/11422/456,"https://scholar.google.com/scholar?cites=18079624317663198126&as_sdt=2005&sciodt=0,5&hl=en",417.0,##########,,,,,,,,,1.0,0.0,1.0,1.0,9.0," análise do projeto Art + Feminism, diretamente relacionado  edit wars, and never disrupt Wikipedia to illustrate a point.  are 4,873,244 articles on the English Wikipedia to work on and ",https://pantheon.ufrj.br/bitstream/11422/456/1/Monografia_Ingrid%20Freire%20Machado_FINAL.pdf,,Art+Feminism,True,TRUE,417.0,,case study,Art+Feminism,"IF_Machado_A_elas,_o_protagonismo_um_estudo_sobre_o_projeto_Art+_Feminism_e_as_novas_representações_de_mulheres_artistas.pdf",0,0,##,BA Thesis,,False,"A elas, o ","A elas, o",False,IF Machado,Machado,,False,,,,,,,,,,,,,,,,,,,,False
6.0,"J Jiang, MA Vetter",Writing Against the 'Epistemology of Deceit'on Wikipedia: A Feminist New Materialist Perspective Towards Critical Media Literacy and Wikipedia-Based Education,2021,"The Epistemology of Deceit in a Postdigital Era,
Postdigital Science and Education",Springer,https://link.springer.com/chapter/10.1007/978-3-030-72154-1_9,"https://scholar.google.com/scholar?cites=2336138764845757850&as_sdt=2005&sciodt=0,5&hl=en",36.0,##########,,10.1007/978-3-030-72154-1_9,,,,,,,6.0,2.0,3.0,2.0,3.0, to edit and contributing to Wikipedia. This specific event was further specialized in that we were working with the organization Art+Feminism to consciously engage representation of ,https://mattvetter.net/wp-content/uploads/2021/08/Jiang-Vetter_Writing-Against-the-Epistemology-of-Deceit-in-Wikipedia.pdf,,Art+Feminism,True,TRUE,36.0,,case study,Art+Feminism,J_Jiang__MA_Vetter_Writing_Against_the_Epistemology_of_Deceiton_Wikipedia_A_Feminist_New_Materialist_Perspective_Towards_Critical_Media_Literacy_and_Wikipedia-Based_Education.pdf,0,0,##,,,False,Writing Against the ,Writing Against the,False,J Jiang,Jiang,,False,,,,,,,,,,,,,,,,,,,,False
0.0,LR Mayhew,"The Activist Essay: Art, Feminism and Wikipedia in the Classroom",2019,acuads.com.au,,https://acuads.com.au/wp-content/uploads/2020/05/Mayhew-Louise_2019.pdf,,2.0,12/23/24 20:52,PDF,,,,,,,,0.0,0.0,0.0,1.0,," In 2013, New Yorkers initiated Art+Feminism on Wikipedia to pursue the twinned goals of  , it gets erased’ (Art+Feminism 2019). Art+Feminism now runs as an international annual ",https://acuads.com.au/wp-content/uploads/2020/05/Mayhew-Louise_2019.pdf,,Art+Feminism,True,TRUE,2.0,,case study,Art+Feminism,"LR_Mayhew_The_Activist_Essay_Art,_Feminism_and_Wikipedia_in_the_Classroom.pdf",0,0,2019,,0,False,The Activist Essay: ,The Activist Essay:,False,LR Mayhew,Mayhew,,False,,,,,,,,,,,,,,,,,,,,False
13.0,"MA Vetter, KS Sarraf, E Woods","Assessing the Art+ feminism Edit-a-thon for Wikipedia literacy, learning outcomes, and critical thinking",2022,Interactive Learning Environments,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/10494820.2020.1805772?casa_token=oRXnuKFBG58AAAAA:CncKrxcbSI9bAfbn-o6cu9Mvcx80ND7g6DUIyU_sTJ9YeuW-j_6gqpqG1XSo3bUr3uoOe3j2z5D8iYw,"https://scholar.google.com/scholar?cites=6318168068993367947&as_sdt=2005&sciodt=0,5&hl=en",6.0,12/23/24 20:52,,10.1080/10494820.2020.1805772,,,,,,,13.0,6.5,4.0,3.0,2.0," for Art + Feminism Wikipedia Edit-a-thons as feminist interventions and pedagogical events that facilitate participants’ Wikipedia  In terms of Wikipedia literacy, analysis of the qualitative ",https://www.tandfonline.com/doi/pdf/10.1080/10494820.2020.1805772?casa_token=cLhQcNuO2WAAAAAA:_d9Mbb2hVteecldRZrrOtzZxNwM1fDH5dr64IqTLpCJ8qz3LnekCFRnFLCIEA9j7aU9WOk3iP-bTj4s,,Art+Feminism,True,TRUE,6.0,,case study,Art+Feminism,"MA_Vetter__KS_Sarraf__E_Woods_Assessing_the_Art+_feminism_Edit-a-thon_for_Wikipedia_literacy,_learning_outcomes,_and_critical_thinking.pdf",0,0,0,need PDF to verify,Institutional login,False,Assessing the Art+ ,Assessing the Art+,False,MA Vetter,Vetter,,True,,,,,,,,,,,,,,,,,,,,False
2.0,"NE Osadebe, SC Ukwoma, EO Njoku…",Wikipedia edit-a-thon in a Nigerian academic library.,2022,Library Philosophy …,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15220222&AN=161168273&h=0bPqzKMrIw5NXyDc5MKs0NQWS0sclMGDJeem7H2NXOMNpZWuiORDcpyTyEbL5d2Yq8pbYxMeGttVLtmJI0Zvfg%3D%3D&crl=c,"https://scholar.google.com/scholar?cites=12305970732211060605&as_sdt=2005&sciodt=0,5&hl=en",78.0,12/23/24 20:52,,,,,,,,,2.0,1.0,1.0,4.0,2.0," Despite the gains of participating in Wikipedia edit-a-thon, there are challenges of time  support entries on Wikipedia. The implication of the study is that participating in Wikipedia edit-a-",,,Art+Feminism,True,,78.0,,case study,Art+Feminism,NE_Osadebe__SC_Ukwoma__EO_Njoku..._Wikipedia_edit-a-thon_in_a_Nigerian_academic_library..pdf,0,0,2022,need PDF to verify,Institutional login,False,Wikipedia edit-a-thon in ,Wikipedia edit-a-thon in,False,NE Osadebe,Osadebe,,True,,,,,,,,,,,,,,,,,,,,False
25.0,"R Farzan, S Savage, CF Saviaga",Bring on board new enthusiasts! A case study of impact of Wikipedia art+ feminism edit-a-thon events on newcomers,2016,Social Informatics,Springer,https://link.springer.com/chapter/10.1007/978-3-319-47880-7_2,"https://scholar.google.com/scholar?cites=9590888150161678378&as_sdt=2005&sciodt=0,5&hl=en",18.0,##########,,10.1007/978-3-319-47880-7_2,,,,,,,25.0,3.0,8.0,3.0,8.0, We present results of our multiple-source quantitative analysis of Wikipedia Art+Feminism edit-a-thon as a case of such events. The results of our analysis shows that such offline events ,https://saviaga.com/wp-content/uploads/2016/06/socinfo_ediathons.pdf,,Art+Feminism,True,TRUE,18.0,,case study,Art+Feminism,R_Farzan__S_Savage__CF_Saviaga_Bring_on_board_new_enthusiasts!_A_case_study_of_impact_of_Wikipedia_art+_feminism_edit-a-thon_events_on_newcomers.pdf,0,Art+Feminism,0,,,False,Bring on board ,Bring on board,False,R Farzan,Farzan,,False,,,,,,,,,,,,,,,,,,,,False
1.0,S Evans,Art+ Feminism: an interview with Siân Evans,2019,Art Libraries Journal,cambridge.org,https://www.cambridge.org/core/journals/art-libraries-journal/article/art-feminism-an-interview-with-sian-evans/ED62B595D8495CE1CC9A8EB5B7555668,"https://scholar.google.com/scholar?cites=12970110703005995095&as_sdt=2005&sciodt=0,5&hl=en",8.0,##########,,,,,,,,,1.0,0.0,1.0,1.0,5.0," I think Art + Feminism is activism because what is and isn’t on Wikipedia is literally shaping the way we understand the world around us and our histories, and our project is troubling the ",https://search.proquest.com/openview/3e4ac15e8baa07c72200710d6bb1758e/1?pq-origsite=gscholar&cbl=636385&casa_token=cMnJTqkUSOkAAAAA:LR81TImt5x7TXaKVDfpUk6D_JdGdCwV-jjNKL_ozRpM_7DYPbRyBAxx-yQdHpH_ZCaW5SEHSaA,,Art+Feminism,True,TRUE,8.0,,case study,Art+Feminism,S_Evans_Art+_Feminism_an_interview_with_Siân_Evans.pdf,0,0,0,,,False,Art+ Feminism: an ,Art+ Feminism: an,False,S Evans,Evans,,True,,,,,,,,,,,,,,,,,,,,False
2.0,S Wyer,"Folk Networks, Cyberfeminism, and Information Activism in the Art+ Feminism Wikipedia Edit-a-thon Series",2017,"FOLK NETWORKS, CYBERFEMINISM, AND INFORMATION ACTIVISM IN THE
ART+FEMINISM WIKIPEDIA EDIT-A-THON SERIES",search.proquest.com,https://search.proquest.com/openview/b5d2f9a75ff3aa9e6ca1e1f9baf17cf0/1?pq-origsite=gscholar&cbl=18750,"https://scholar.google.com/scholar?cites=12282432325766412268&as_sdt=2005&sciodt=0,5&hl=en",4.0,##########,Masters Thesis,,,,,,,,2.0,0.0,2.0,1.0,7.0, This thesis explores how the Art+Feminism Wikipedia Edit-a-thon event impacts the people who coordinate and participate in it. I review museum catalogs to determine institutional ,http://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/22752/Wyer_oregon_0171N_11963.pdf?sequence=1&isAllowed=y,,Art+Feminism,True,TRUE,4.0,,case study,Art+Feminism,"S_Wyer_Folk_Networks,_Cyberfeminism,_and_Information_Activism_in_the_Art+_Feminism_Wikipedia_Edit-a-thon_Series.pdf",0,0,0,MA Thesis,,True,"Folk Networks, Cyberfeminism, ","Folk Networks, Cyberfeminism,",True,S Wyer,Wyer,,True,"Folk Networks, Cyberfeminism, and Information Activism in the Art+Feminism Wikipedia Edit-a-thon Series","Wyer, Sarah", Dissertation/Thesis,0, 2017,0.0,0,0,2017,ProQuest Dissertations and Theses,2017.0,0.0,,,,,,,,False
9.0,"SC Ukwoma, NE Osadebe, VN Okafor…",Unveiling the veiled: Wikipedia collaborating with academic libraries in Africa in creating visibility for African women through Art+ Feminism Wikipedia edit-a-thon,2021,Digital Library Perspectives,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/DLP-08-2020-0079/full/html,"https://scholar.google.com/scholar?cites=14633662724997167374&as_sdt=2005&sciodt=0,5&hl=en",7.0,##########,,37,4.0,,,,,,9.0,3.0,2.0,4.0,3.0," Wikipedia collaborating with academic libraries in Africa in creating visibility for African women through Art+Feminism Wikipedia  , through the Art+Feminism Wikipedia platform, have ",,,Art+Feminism,True,TRUE,7.0,,case study,Art+Feminism,SC_Ukwoma__NE_Osadebe__VN_Okafor..._Unveiling_the_veiled_Wikipedia_collaborating_with_academic_libraries_in_Africa_in_creating_visibility_for_African_women_through_Art+_Feminism_Wikipedia_edit-a-thon.pdf,0,Art+Feminism,##,,,True,Unveiling the veiled: ,Unveiling the veiled:,True,SC Ukwoma,Ukwoma,,True,Unveiling the veiled: Wikipedia collaborating with academic libraries in Africa in creating visibility for African women through Art+Feminism Wikipedia edit-a-thon,"Ukwoma, Scholastica Chizoma;Osadebe, Ngozi Eunice;Okafor, Victoria Nwamaka;Ezeani, Chinwe Nwogo", Journal Article, 2021-07-09, 2021,4.0, 449-462, Bingley,2021,Digital Library Perspectives,2021.0,37.0,,,,,,,,False
0.0,"TF TRIUMPH, KM HENZE",Women and Wikipedia,2017,Gender Issues and the Library: Case …,books.google.com,https://books.google.com/books?hl=en&lr=&id=RME8DwAAQBAJ&oi=fnd&pg=PA155&dq=%22art+feminism%22+wikipedia&ots=fHBH_cWVfX&sig=jlxTs8sI1Vy_BSnqplFGNr6ZDLo,,14.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,2.0,7.0," (Wikipedia “Welcome” 2015). At our Art+ Feminism edit-a-thon, our Wikipedia trainers were library science graduate students who had been working with the Wikipedia system for some ",,,Art+Feminism,True,TRUE,14.0,,case study,Art+Feminism,TF_TRIUMPH__KM_HENZE_Women_and_Wikipedia.pdf,0,0,2017,need PDF to verify,get ILL,False,Women and Wikipedia,Women and Wikipedi,False,TF TRIUMPH,TRIUMPH,,False,,,,,,,,,,,,,,,,,,,,False
0.0,"LM Bridges, C Llebot",Los bibliotecarios como organizadores del movimiento Wikimedia en España: una investigación interpretiva que explora las actividades y sus motivaciones,2021,First Monday,ir.library.oregonstate.edu,https://ir.library.oregonstate.edu/concern/articles/3b591h64c,,430.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,2.0,3.0," Wikipedia y con los bibliotecarios de fuera de España, con la esperanza de que esto  Cada mes un billón de dispositivos acceden a Wikipedia, la única web sin ánimo de ",https://ir.library.oregonstate.edu/downloads/sf268d10t,,Art+Feminism,True,,430.0,,discussion,Art+Feminism,LM_Bridges__C_Llebot_Los_bibliotecarios_como_organizadores_del_movimiento_Wikimedia_en_España_una_investigación_interpretiva_que_explora_las_actividades_y_sus_motivaciones.pdf,0,0,0,,0,False,Los bibliotecarios como ,Los bibliotecarios como,False,LM Bridges,Bridges,,True,,,,,,,,,,,,,,,,,,,,False
0.0,P Lorente,Prácticas pedagógicas con Wikipedia en Educación Superior Universitaria. Análisis de experiencias en universidades públicas argentinas,2024,,memoria.fahce.unlp.edu.ar,https://www.memoria.fahce.unlp.edu.ar/library?a=d&c=tesis&d=Jte2953,,425.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,1.0,1.0," Wikipedia. Estos también son los ámbitos en los que transcurre la política local de Wikipedia y decide las normas específicas de cada Wikipedia, donde se definen relaciones de poder, ",https://www.memoria.fahce.unlp.edu.ar/tesis/te.2953/te.2953.pdf,,[],True,,425.0,,discussion,Art+Feminism,P_Lorente_Prácticas_pedagógicas_con_Wikipedia_en_Educación_Superior_Universitaria._Análisis_de_experiencias_en_universidades_públicas_argentinas.pdf,0,0,0,,0,False,Prácticas pedagógicas con ,Prácticas pedagógicas con,False,P Lorente,Lorente,,False,,,,,,,,,,,,,,,,,,,,False
2.0,"A Duncan, V Eades-Miller, A Ramejkis",Opening Spaces for Creative and Critical Enquiry,2022,Narrative Expansions: Interpreting …,cambridge.org,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4270DD4CC6A112CB5EEB3814E5CDB447/stamped-9781783304998c10_p139-152_CBO.pdf/opening-spaces-for-creative-and-critical-enquiry.pdf,"https://scholar.google.com/scholar?cites=6388076740209491068&as_sdt=2005&sciodt=0,5&hl=en",164.0,##########,,,,,,,,,2.0,0.0,1.0,3.0,," Wikipedia Art+Feminism edit-a-thons, a sense they were the sort of thing librarians ought to be doing. The statistics on the Art+Feminism organisation website (Art+Feminism,  Wikipedia ",,,Art+Feminism,True,TRUE,164.0,,discussion,Art+Feminism,A_Duncan__V_Eades-Miller__A_Ramejkis_Opening_Spaces_for_Creative_and_Critical_Enquiry.pdf,0,Art+Feminism,##,Ed. Book,,False,Opening Spaces for ,Opening Spaces for,False,A Duncan,Duncan,,True,,,,,,,,,,,,,,,,,,,,False
0.0,A Matsuuchi,Connecting Wikipedia and the Archive: Building a Public History of HIV/AIDS in New York City.,2017,WikiStudies,academicworks.cuny.edu,https://academicworks.cuny.edu/lg_pubs/70/,,83.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,7.0," myself to the area’s largest and most widely covered event, Art+Feminism, held at the Museum of Modern Art in March 2016 (“Art+Feminism,” 2017). The students and their news of the ",https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1071&context=lg_pubs,,Art+Feminism,True,TRUE,83.0,,discussion,Art+Feminism,A_Matsuuchi_Connecting_Wikipedia_and_the_Archive_Building_a_Public_History_of_HIVAIDS_in_New_York_City..pdf,0,0,0,,,False,Connecting Wikipedia and ,Connecting Wikipedia and,False,A Matsuuchi,Matsuuchi,,False,,,,,,,,,,,,,,,,,,,,False
