Filename,Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project
Anthropology and Humanism - 2022 - Perry - Wholehearted Participation Attuning to Affect and Immanence in a Virtual Field.pdf,Deirdre Perry,Wholehearted Participation: Attuning to Affect and Immanence in a Virtual Field,2022,,Anthropology and Humanism,,,10.1111/anhu.12375,,47,1,256,276,,TRUE,Several paragraphs,
Bauhaus meets F_LOSS.pdf,,Bauhaus meets F_LOSS,2011,45394,ospublish,,http://en.flossmanuals.net/digital-foundations/,,,,,,,,TRUE,One sentence,
Big Data_ there’s no escape.pdf,,,,,Economist,,,,,,,,,,TRUE,,
Burlington Contemporary - Reviews.pdf,,,,,Burlington Contemporary,,,,,,,,,,TRUE,paragraph,
Cornell Celebrates International Women's Day with Wikipedia Edit-a-Thon - Document - Gale OneFile_ News.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Cornell Students Amend Wikipedia to Address Inequality - Document - Gale OneFile_ News.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Creating a safe space for tough issues - Document - Gale OneFile_ News.pdf,,Creating a safe space for tough issues,2015,"4,November",UWIRE Text,,link.gale.com/apps/doc/A433635858/STND?u=cuny_gradctr&sid=bookmark-STND&xid=bcca7c0a,,,,,1,,,TRUE,case study,
Critical Digital Praxis in Wikipedia_ The Art+Feminism Edit-a-thon.pdf,,,,,hybridpedagogy,,,,,,,,,,TRUE,,
Critical Reading Across the Curriculum - 2017 - DiYanni - Approaching Intellectual Emancipation.pdf,,Approaching Intellectual Emancipation,2017,,"John Wiley & Sons, Inc.",,,Book,10.1002/9781119154907.ch6,,,,,,TRUE,full article,Art+Feminism
Dialnet-EsteticasDelMediaArt-525868.pdf,,Esteticas Del Media Art,,,Dialnet,,,,,,,,,,TRUE,,
Dialnet-InventarElFuturo-8118430.pdf,,Inventar el futuro,,,Orcid,,,,,,,,,,TRUE,one sentence,
Dixon-Cibernetic-2020-p215-shopM.pdf,Steve Dixon,Identity art: The adaptive system of the authentic self,2020,,Identity art,Routledge,,Book,,,,203,228,,TRUE,,
"Ducking the Firewall Hillenbrand, Margaret.pdf",Margaret Hillenbrand,Ducking the Firewall,2020,,Negative Exposures: Knowing What Not to Know in Contemporary China,Duke University Press,,,,,,,,,TRUE,discussion,Tiananmen
E. - Document - Gale OneFile_ News.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Edit-a-thon seeks to decrease gender gap on Wikipedia - Document - Gale OneFile_ News.pdf,,Edit-a-thon seeks to decrease gender gap on Wikipedia,2018,45363,UWIRE Text,,link.gale.com/apps/doc/A530807046/STND?u=cuny_gradctr&sid=bookmark-STND&xid=f701455f,,,,,1,,,TRUE,case study,
Endless Flux - springerin _ Hefte für Gegenwartskunst.pdf,,,,,spark-artfair,,,,,,,,,,TRUE,,
Fandom_community_hacker_ethic_.pdf,Elena Lopez Martin and Borja Morgado Aguirre,"Fandom community, hacker ethic, open movement: influences on socially engaged contemporary net.art",2015,Feb. 15,ETC Media,,,,,,104,,,,TRUE,paragraph,
Forgery and Appropriation in Art.pdf,,,,,Forgery and Appropriation in Art,,,,,,,,,,TRUE,,
Gilbert_Print_Wikipedia_refreshbook.pdf,,,,,,,,,,,,,,,TRUE,paragraph,Print Wikipedia
Gujarat this week_ Play based on Manto's paritition stories; Nature paintings to save lives. - Document - Gale OneFile_ News.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Happening around Delta_ week of March 18. - Document - Gale OneFile_ News.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Harn hosts Wikipedia-editing marathon in name of feminism - Document - Gale OneFile_ News.pdf,,Harn hosts Wikipedia-editing marathon in name of feminism,2017,"26, March",UWIRE Text,Gale OneFile: News,,,,,,,1,,TRUE,,full article
How Long Will It Take an Artist to Print Wikipedia.pdf,,,,,inverse,,,,,,,,,,TRUE,,
ISEA_proceedings_final-An e-publishing archaeology Alessandro Ludovico.pdf,Alessandro Ludovico,An e-publishing archaeology,,,ISEA,,,,,,,,,,TRUE,,
If work becomes our life - Domus.pdf,,If work becomes our life,,,Domus,,,,,,,,,,TRUE,,
Imagine No Possessions - Document - Gale OneFile_ News.pdf,,Imagine No Possessions,2002,45608,Scotsman,,link.gale.com/apps/doc/A94888479/STND?u=cuny_gradctr&sid=bookmark-STND&xid=5a3b3bcd,,,,,10,10,,TRUE,One sentence,
Information Wants to Be Free_ — Art & Market.pdf,Kristine Tan,Information Wants to Be Free?: Art and the Internet,2022,"10, May",Art & Market,,,,,,,,,,TRUE,paragraph,
Is it photography or is it art_ The lines between the two blurred - Document - Gale OneFile_ News-ASL.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
Jan Dibbets – Books On Books.pdf,,,,,books-on-books,,,,,,,,,,TRUE,,
Kickstarter_magazine_Five Pieces of Advice for Your Creative Coding Project _ by Kickstarter _ Kickstarter Magazine _ Medium.pdf,,,,,medium,,,,,,,,,,TRUE,,
Llega el 'plugin art' para Firefox _ CiberPaís _ EL PAÍS.pdf,,,,,elpais,,,,,,,,,,TRUE,,
London_247_review.pdf,,,,,go-gale-com.ezproxy,,,,,,,,,,TRUE,,
MIL-OSI Australia_ WOMEN'S ART REGISTER ART+FEMINISM WIKIPEDIA EDIT-A-THON - Document - Gale OneFile_ News.pdf,,MIL-OSI Australia: WOMEN'S ART REGISTER ART+FEMINISM WIKIPEDIA EDIT-A-THON,2019,45347,ForeignAffairs.co.nz,,link.gale.com/apps/doc/A575635543/STND?u=cuny_gradctr&sid=bookmark-STND&xid=79efbfd4,,,,,,,,TRUE,Full Article,
"Mining data, making art_ Digital Creativity_ Vol 26, No 3-4.pdf",Maria Michails,"Mining data, making art",2015,45530,Digital Creativity,,https://doi.org/10.1080/14626268.2015.1073159,,10.1080/14626268.2015.1073159,26,45355,279,286,,TRUE,Several paragraphs,
Museum of capitalism _ WorldCat.org.pdf,,,,,search.worldcat,,,,,,,,,,TRUE,,
Museums Open Up to Power of Wiki - WSJ.pdf,,,,,wjs,,,,,,,,,,TRUE,,
"NYAP K Mulholland, Re-imagining the Art School,.pdf",K Mulholland,Re-imagining the Art School,2019,,tripleC,London: Routledge,,Book,,,,,5,,TRUE,paragraph,
"NYT Harassers Plague Wikipedia, Too. It's Fighting Back. - Document - Gale OneFile_ News.pdf",Julia Jacobs,"Harassers Plague Wikipedia, Too. It's Fighting Back.",2019,45392,New York Times,The New York Times Company,link.gale.com/apps/doc/A581826885/STND?u=cuny_gradctr&sid=bookmark-STND&xid=d8ad235a,Article,,,,,,,TRUE,,Art+Feminism
Net_Art_Scritti_sullarte_nellera_dellinf.pdf,Domenico Quaranta,,2023,Apr,NET ART,,,,,,,,,,TRUE,,
"New York artist creating 7,600-volume 'print edition' of Wikipedia - Document - Gale OneFile_ News.pdf",Ben Hooper,"New York artist creating 7,600-volume 'print edition' of Wikipedia",2015,45461,UPI NewsTrack,United Press International,link.gale.com/apps/doc/A418365733/STND?u=cuny_gradctr&sid=bookmark-STND&xid=585d438d,Article,,,,,,,TRUE,,Print Wikipedia
Open Call Library of Artistic Print-on-Demand. Collection & Research – Kunst zwischen Deckeln.pdf,Annette Gilbert,Open Call: Library of Artistic Print-on-Demand. Collection & Research,2019,45562,OpenEdition,,,,Article,,,,,,TRUE,several paragraphs,Print Wikipedia
Out & about - Document - Gale OneFile_ News_PW.pdf,,Out & about,2015,2,The Village Voice,,,Article,,,,,,,TRUE,,Print Wikipedia
Out_Of_The_Kitchen_Onto_Your_Screen_Into.pdf,,,,2014,,,,,Book,,,,,,TRUE,,Art+Feminism
PW_villagevoice.pdf,RC Baker,On the Books,,45556,The Village Voice,,,Article,,,,,,,TRUE,,
Pente-Niche and Community Online-1151-OilStandard-TRC.pdf,Patti Pente,Niche and Community Online: Artists’ Tactical Media Activities as Pedagogy,2016,,"Politics and social activism / concepts, methodologies, tools, and applications",IGI Global,10.4018/978-1-4666-9461-3.ch059,Book,18,4,,,,,TRUE,several paragraphs,Oil Standard
Philosophy Compass - 2010 - Hick - Forgery and Appropriation in Art.pdf,Aaron Hick,Forgery and Appropriation in Art,2010,,Philosophy Compass,Wiley Online Library,10.1111/j.1747-9991.2010.00353.x,Article,5,12,1047,1056,,,TRUE,,
ProQuestDocuments-2022-02-24.pdf,,,,2022,PROQUEST,,,,Book,,,,,,TRUE,,
Recrea artista Wikipedia... !con cientos de tomos! - Document - Gale OneFile_ News.pdf,Luis López,Recrea artista Wikipedia... !con cientos de tomos!,2015,45466,"El Norte (México D.F., México)",Agencia Reforma,link.gale.com/apps/doc/A418985008/STND?u=cuny_gradctr&sid=bookmark-STND&xid=7fdcabe8,Article,,,,,,,TRUE,,Print Wikipedia
SSRN-id3739176.pdf,,The Gender Divide in Wikipedia,,,SSRN,,Article,,,,,,,,TRUE,full article,
"SURREY EVENTS_ 'American Rock Legends' in concert, plus plays, comedy & more. - Document - Gale OneFile_ News.pdf",,"SURREY EVENTS: 'American Rock Legends' in concert, plus plays, comedy & more.",2024,45357,Surrey Leader,,link.gale.com/apps/doc/A785436390/STND? u=cuny_gradctr&sid=bookmark-STND&xid=3393ee53,,,,,,,,TRUE,one sentence,
Scrollen_im_Fluss.pdf,,Scrollen_im_Fluss,,,springerin,,Article,,,,,,,,TRUE,several paragraphs,
TOP SHELF WIKI WHACK - Document - Gale OneFile_ News.pdf,,TOP SHELF WIKI WHACK,2015,45463,Herald Sun,News Limited,link.gale.com/apps/doc/A418542710/STND?u=cuny_gradctr&sid=bookmark-STND&xid=2e9862af,,,,,15,15,,TRUE,one sentence,Print Wikipedia
The Handbook of Peer Production - 2020 - O'Neil - Feminist Peer Production.pdf,"Mathieu O’Neil, Christian Pentzold, and Sophie Toupin",Feminist Peer Production,2021,,"John Wiley & Sons, Inc.","John Wiley & Sons, Inc.",https://onlinelibrary.wiley.com/doi/10.1002/9781119537151.ch23,Book,10.1002/9781119537151.ch23,,,313,321,,TRUE,several paragraphs,Art+Feminism
The Mass Media Frame - A Companion to Public Art - Wiley Online Library.pdf,"Cher Krause Knight, Harriet F. Senie","The Mass Media Frame: Pranking, Soap Operas, and Public Art",2016,45492,onlinelibrary-wiley-com,Wiley Online Library,https://doi-org.ezproxy.gc.cuny.edu/10.1002/9781118475331.ch21,Book,10.1002/9781118475331.ch21,,,,,,TRUE,,
Toister Latent digital 2020.pdf,Yanai Toister,Latent digital,2020,45630,Journal of Visual Art Practice,Taylor & Francis Group,https://doi.org/10.1080/14702029.2019.1701915,,10.1080/14702029.2019.1701915,19,2,125,136,,TRUE,several paragraphs,AfterSherrieLevine.com
UNAM_MX_Construcción Colaborativa.pdf,,,,,edusol,,,,,,,,,,TRUE,,
"UPI Own the Wikipedia 'print edition' for $500,000 - UPI.com.pdf",,"UPI Own the Wikipedia 'print edition' for $500,000",2015,45461,UPI,,,,,,,,,,TRUE,several paragraphs,Print Wikipedia
UT School of Information to host feminist Wikipedia Edit-a-thon - Document - Gale OneFile_ News.pdf,Megan Kallus,UT School of Information to host feminist Wikipedia Edit-a-thon,2015,45355,UWIRE Text,ULOOP Inc.,,,,,,,,,TRUE,full article,Art+Feminism
Unv_Granada_2017.pdf,"María Luisa Sánchez-Pérez, María Garrido-Román",Copias de copias: la apropiación de la apropiación en Arte Contemporáneo,2017,45568,Observar,,https://www.uco.es/ucopress/ojs/index.php/observar/article/view/1491,,,11,2,203,217,,TRUE,several paragraphs,"AfterSherrieLevine.com, Print Wikipedia"
Wiki-ty Whack - Document - Gale OneFile_ News.pdf,,Wiki-ty Whack,2015,45359,UWIRE Text,ULOOP Inc.,link.gale.com/apps/doc/A404422402/STND? u=cuny_gradctr&sid=bookmark-STND&xid=0ba31b71,,,,,1,,,TRUE,full article,Art+Feminism
Wikipedia-in-highered-essay.pdf,"Rebecca Johinke, Frances Di Lauro",Wikipedia in higher education: practice what you teach,2020,,DOI,Society for Research into Higher Education,https://doi.org/10.1080/03075079.2020.1763014,,10.1080/03075079.2020.1763014,45,5,947,949,,TRUE,several paragraphs,Print Wikipedia
Women in Higher Education - 2016 - Baker - NWSA Initiative Tackles Wikipedia Gender Gap.pdf,,NWSA Initiative Tackles Wikipedia Gender Gap,2016,,wihe,National Women's Studies Association,,,,,,,,,TRUE,"""one sentence""",
Zoom Artists At Home_ Between Familiar Environments And New Perspectives - Artland Magazine.pdf,,,,,Artland,,,,,,,,,,TRUE,,
_You are not expected to understand this_ _ how 26 lines of code changed the world _ WorldCat.org.pdf,"Torie Bosch, Ellen Ullman, Key S. Chudler","\You are not expected to understand this\"" : how 26 lines of code changed the world""",2022,,Princeton University Press,Princeton,,Book,,,,,,,TRUE,,
b200b8a9a9045db88f12f1f896722259.pdf,,,,,springerin,,,,,,,,,,TRUE,One sentence,"#oneSecond, 0.01s: The First 1/100th Second of 1­Bit Symphony"
"bodil-christensen,+Washko.pdf",,,,,Nordisk,,,,,,,,,,TRUE,paragraph,Art+Feminism
dailymail_PW.pdf,,,,,Dailymail,,,,,,,,,,TRUE,one sentence,
digital_arte-hacker.pdf,,,,,creativecommons,,,Book,,,,,,,TRUE,several paragraphs,AfterSherrieLevine.com
event-at-ccp-aims-to-empower-female-wikipedia-editors.pdf,,,,,Wildcat Arizona,,,,,,,,,,TRUE,,
fdic_bloomberg.pdf,,,,,Bloomberg,,,,,,,,,,TRUE,,
modern_painters.pdf,,,,,BLOUINARTINFO,,,,,,,,,,TRUE,,
networks.pdf,Xtine Burrough,Net works : case studies in Web art and design,,,cuny-gc.primo.exlibrisgroup,,,,,,,,,,TRUE,,
review of social life of artistic property.pdf,,,,,Carolina Planning Journal,,,,Book,,,,,,TRUE,,
rhad496.pdf,HJS Tworek,Digitized Newspapers and the Hidden Transformation of History,2024,,American Historical Review,Oxford University Press,,,Article,129,1,143,,,TRUE,image,Burned Books
shanken_hybrid-discourses-overview-4.pdf,,,,,,,,,Book,,,,,,TRUE,,
把维基百科全部7600卷词条印出来！不是行为艺术？.pdf,,,,,thepaper,,,,,,,,,,TRUE,,
